CircuitName,File_Content,File,Date,File_State,Log_Directory
BRT_10_57_E0101,"Error description for entity (CustomId = ""HighVoltageSwitch.264355"", Name = ""Kobling 1"")

Description: Invalid entity

Error detail 1:

 - Description: Vector count error. Number of elements in vector: 0 outside of allowed range: (1, 65536)where type(IDOBJ_LID) = DSIGNAL AND DSIGNAL_TYPE = SwitchStatus AND SIGNAL_DIRECTION in (Read, ReadWrite) .

 - PropertyId: PSR_MEAS

 - Validation error code: InvalidVectorCount",SummaryReport.txt,2014-03-04_17-29-48,Rejected ChangeSet,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Rejected\Reports_for_ChangeSet_BRT_10_57_E0101 [Bulk] _created at_2014-03-04_17-29-48
BRT_10_57_E0101,"Error description for entity ()Error description for entity ()

Description: Invalid entity

Error detail 1:

 - Description: Element with gid: {0x0201005d0000bfe4} has the same custom id = ""HighVoltageSwitch.264355"" that already exists in Network Model.

 - PropertyId: IDOBJ_CUSTOMID

 - Validation error code: InvalidCustomIds",SummaryReport.txt,2014-03-04_17-29-48,Rejected ChangeSet,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Rejected\Reports_for_ChangeSet_BRT_10_57_E0101 [Bulk] _created at_2014-03-04_17-29-48
FHO_10_14_E0101,"Error description for entity (CustomId = ""4F67C2B6C2D498427908B5938AA62F2A3E7E5E91"", Name = ""REY_GIS_200_10kV_8700A"")

Description: Invalid entity

Error detail 1:

 - Description: Range error. Property value: 8700 outside of allowed range: (0, 500).

 - PropertyId: DISCONNECTORC_BREAKINGI

 - Validation error code: InvalidConditionalAbsoluteRange",SummaryReport.txt,2014-03-04_17-36-41,Rejected ChangeSet,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Rejected\Reports_for_ChangeSet_FHO_10_14_E0101 [Bulk] _created at_2014-03-04_17-36-41
FRS_10_23_E0101,"Error description for entity (CustomId = ""DistributionTransformer.4801"", Name = ""T1"", Alias = ""9016"")

Description: Invalid entity

Error detail 1:

 - Description: Nominal voltage of the primary winding of the power transformer: 9.4kV, (POWERTR2W, globalId: 0x020100230000aead) does not correspond to the voltage level limits in the particular network area: (9.6, 11).

 - Hint: Rated voltage of the transformer winding; rated voltage of the supply line; equipment connectivity

 - PropertyId: POWERTRC2W_W1RATEDU

 - Validation error code: InvalidVoltageCompatibility",SummaryReport.txt,2014-03-04_17-40-08,Rejected ChangeSet,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Rejected\Reports_for_ChangeSet_FRS_10_23_E0101 [Bulk] _created at_2014-03-04_17-40-08
GLN_10_20_E0101,"Error description for entity (CustomId = ""Station.1235ProtGroup"", Name = ""Station.1235ProtGroup"")

Description: Invalid entity

Error detail 1:

 - Description: Protection group with globalId: 0x020100820000033f doesn't have protection equipment with primary key (index = 1)!

 - PropertyId: PROTGROUP_PROTECTIONS

 - Validation error code: InvalidProtectionGroupIndex

Error detail 2:

 - Description: Protection group with globalId: 0x020100820000033f has regulating controls {0x0201003c000218f8, 0x0201003c000218f9} with same index = ""0"".

 - PropertyId: PROTGROUP_PROTECTIONS

 - Validation error code: InvalidProtectionGroupIndex",SummaryReport.txt,2014-03-04_17-42-27,Rejected ChangeSet,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Rejected\Reports_for_ChangeSet_GLN_10_20_E0101 [Bulk] _created at_2014-03-04_17-42-27
GLN_10_20_E0101,"Error description for entity (CustomId = ""HighVoltageSwitch.11992ProtEq"", Name = ""HighVoltageSwitch.11992ProtEq"")Error description for entity (CustomId = ""HighVoltageSwitch.11992ProtEq"", Name = ""HighVoltageSwitch.11992ProtEq"")

Description: Invalid entity

Error detail 1:

 - Description: Reference type error. Type: 0 not in set of allowed reference types: { POTENTIALTR } where PROTECTEQP_PURPOSE = Voltage .

 - PropertyId: PROTECTEQP_CONDEQP1

 - Validation error code: InvalidReferenceType

Error detail 2:

 - Description: Range error. Property value: 0 outside of allowed range: (1, 65536) where type(PROTECTEQP_GROUP) <> 0 .

 - PropertyId: PROTECTEQP_INDEX

 - Validation error code: InvalidConditionalAbsoluteRange",SummaryReport.txt,2014-03-04_17-42-27,Rejected ChangeSet,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Rejected\Reports_for_ChangeSet_GLN_10_20_E0101 [Bulk] _created at_2014-03-04_17-42-27
GLN_10_20_E0101,"Error description for entity (CustomId = ""HighVoltageSwitch.11993ProtEq"", Name = ""HighVoltageSwitch.11993ProtEq"")Error description for entity (CustomId = ""HighVoltageSwitch.11993ProtEq"", Name = ""HighVoltageSwitch.11993ProtEq"")

Description: Invalid entity

Error detail 1:

 - Description: Reference type error. Type: 0 not in set of allowed reference types: { POTENTIALTR } where PROTECTEQP_PURPOSE = Voltage .

 - PropertyId: PROTECTEQP_CONDEQP1

 - Validation error code: InvalidReferenceType

Error detail 2:

 - Description: Range error. Property value: 0 outside of allowed range: (1, 65536) where type(PROTECTEQP_GROUP) <> 0 .

 - PropertyId: PROTECTEQP_INDEX

 - Validation error code: InvalidConditionalAbsoluteRange",SummaryReport.txt,2014-03-04_17-42-27,Rejected ChangeSet,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Rejected\Reports_for_ChangeSet_GLN_10_20_E0101 [Bulk] _created at_2014-03-04_17-42-27
HBY_10_10_E0101,"Error description for entity (CustomId = ""DistributionTransformer.2699"", Name = ""T1"", Alias = ""4461"")

Description: Invalid entity

Error detail 1:

 - Description: Nominal voltage of the primary winding of the power transformer: 9.4kV, (POWERTR2W, globalId: 0x020100230000b243) does not correspond to the voltage level limits in the particular network area: (9.6, 11).

 - Hint: Rated voltage of the transformer winding; rated voltage of the supply line; equipment connectivity

 - PropertyId: POWERTRC2W_W1RATEDU

 - Validation error code: InvalidVoltageCompatibility",SummaryReport.txt,2014-03-04_17-47-02,Rejected ChangeSet,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Rejected\Reports_for_ChangeSet_HBY_10_10_E0101 [Bulk] _created at_2014-03-04_17-47-02
HOL_10_19_E0101,"Error description for entity (CustomId = ""DistributionTransformer.5199"", Name = ""T1"", Alias = ""1576"")

Description: Invalid entity

Error detail 1:

 - Description: Nominal voltage of the primary winding of the power transformer: 9.4kV, (POWERTR2W, globalId: 0x020100230000b462) does not correspond to the voltage level limits in the particular network area: (9.6, 11).

 - Hint: Rated voltage of the transformer winding; rated voltage of the supply line; equipment connectivity

 - PropertyId: POWERTRC2W_W1RATEDU

 - Validation error code: InvalidVoltageCompatibility",SummaryReport.txt,2014-03-04_17-52-03,Rejected ChangeSet,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Rejected\Reports_for_ChangeSet_HOL_10_19_E0101 [Bulk] _created at_2014-03-04_17-52-03
KAK_10_08_E0101,"Error description for entity (CustomId = ""236fa62a-b49e-497d-acbe-9dd1996f025f"", Name = ""Transformer"", Alias = ""KAK_10_15_E1000"")

Description: Invalid entity

Error detail 1:

 - Description: Nominal voltage of the secondary winding of the power transformer: 11.5kV, (POWERTR2W, globalId: 0x020800230000a350) does not correspond to the voltage level limits in the particular network area: (9.6, 11).

 - Hint: Rated voltage of the transformer winding; rated voltage of the supply line; equipment connectivity

 - PropertyId: POWERTRC2W_W2RATEDU

 - Validation error code: InvalidVoltageCompatibility",SummaryReport.txt,2014-03-04_17-57-00,Rejected ChangeSet,C:\Users\Dejan\Desktop\DMSZadatak\Zadatak\Reports\Reports\Rejected\Reports_for_ChangeSet_KAK_10_08_E0101 [Bulk] _created at_2014-03-04_17-57-00
